name,all_names_seen,address,"sources(K=permit-name,O=OSM,V=Overture)",permit_id,is_kbbq,in_city_of_LA,lat,lon
BARO GIMBAP / BARO GIMBAP,BARO GIMBAP / BARO GIMBAP | Baro Kimbap,3250 W OLYMPIC BLVD STE 106,KV,FA0272792,False,True,34.05262853,-118.3077315
"BB.Q CHICKEN NORTH RIDGEBBQCN, INC / BB.Q CHICKEN NORTH RIDGEBBQCN, INC","BB.Q CHICKEN NORTH RIDGEBBQCN, INC / BB.Q CHICKEN NORTH RIDGEBBQCN, INC | bb.q Chicken",18431 NORDHOFF ST # 2,KO,FA0354462,False,True,34.23553153,-118.5352677
BBQ + RICE / BBQ + RICE,BBQ + RICE / BBQ + RICE | BBQ+RICE Korean BBQ Bowl,7363 W SUNSET BLVD,KV,FA0251371,True,True,34.09807204,-118.3505166
BBQ CHICKEN / BBQ CHICKEN,BBQ CHICKEN / BBQ CHICKEN | bb.q Chicken Glendale,107 E BROADWAY,KV,FA0326424,False,False,34.146481,-118.254393
BBQ CHICKEN / BBQ CHICKEN,BBQ CHICKEN / BBQ CHICKEN | bb.q Chicken Agoura Hills,5891 KANAN RD,KV,FA0364790,False,False,34.15739678,-118.7563122
BBQ CHICKEN / BBQ CHICKEN,BBQ CHICKEN / BBQ CHICKEN | bb.q Chicken Redondo Beach,1252 BERYL ST,KV,FA0400996,False,False,33.85468703,-118.3801265
BBQ CHICKEN GARDENA / BBQ CHICKEN GARDENA,BBQ CHICKEN GARDENA / BBQ CHICKEN GARDENA | bb.q Chicken,1743 W ARTESIA BLVD,KO,FA0300475,False,False,33.87300734,-118.3081967
BBQ+RICE / BBQ+RICE,BBQ+RICE / BBQ+RICE | BBQ+Rice,3827 W SUNSET BLVD C,KO,FA0329924,True,True,34.091676,-118.279314
BBQ+RICE / BBQ+RICE,BBQ+RICE / BBQ+RICE | BBQ+RICE | Bbq + Rice,5706 SANTA MONICA BLVD,KV,FA0317527,True,True,34.090455991,-118.313983976
BCD TOFU HOUSE / BCD TOFU HOUSE,BCD TOFU HOUSE / BCD TOFU HOUSE | BCD Tofu House Torrance,1607 W SEPULVEDA BLVD,KV,FA0008615,False,True,33.81648684,-118.3069345
BCD TOFU HOUSE / BCD TOFU HOUSE,BCD TOFU HOUSE / BCD TOFU HOUSE | BCD Tofu House,1731 S FULLERTON RD,KV,FA0008614,False,False,33.98779755,-117.905904
BEUL GOPCHANG / BEUL GOPCHANG,BEUL GOPCHANG / BEUL GOPCHANG | Byul Gobchang,3819 W 6TH ST,KV,FA0292130,True,True,34.06359732,-118.3064538
BONCHON / BONCHON,BONCHON / BONCHON | Bonchon,17901 PIONEER BLVD UNIT F,KV,FA0307247,False,False,33.867816,-118.083139
BONCHON KOREAN FRIED CHICKEN / BONCHON KOREAN FRIED CHICKEN,BONCHON KOREAN FRIED CHICKEN / BONCHON KOREAN FRIED CHICKEN | Bonchon,24919 PICO CANYON RD UNIT B,KV,FA0331679,False,False,34.38177,-118.571235
BROKEN MOUTH / BROKEN MOUTH,BROKEN MOUTH / BROKEN MOUTH | BROKEN MOUTH,718 S LOS ANGELES ST STE D,KO,FA0300121,False,True,34.04259901,-118.250612
BROTHER KOREAN BBQ / BROTHER KOREAN BBQ,BROTHER KOREAN BBQ / BROTHER KOREAN BBQ | Brothers Korean BBQ,12218 CENTRALIA ST,KV,FA0326297,True,False,33.838411,-118.07148
BROTHERS KOREAN BBQ TWO / BROTHERS KOREAN BBQ TWO,BROTHERS KOREAN BBQ TWO / BROTHERS KOREAN BBQ TWO | Chuncheon Dakgalbi Donghae Makguksu 2,3601 W 6TH ST,KO,FA0295978,True,True,34.06393598,-118.300798
BROTHERS WESTERN GRILL / BROTHERS WESTERN GRILL,BROTHERS WESTERN GRILL / BROTHERS WESTERN GRILL | J-korean restaurant | Korean B.B.Q. Restaurant,210 N WESTERN AVE STE 103,OV,FA0260004,False,True,34.07512517,-118.3091068
BUDNAMU KOREAN BBQ HOUSE / BUDNAMU KOREAN BBQ HOUSE,BUDNAMU KOREAN BBQ HOUSE / BUDNAMU KOREAN BBQ HOUSE | Bud Namu,809 S ARDMORE AVE,KV,FA0011164,True,True,34.05744838,-118.3021113
BULGOGI TOWN / BULGOGI TOWN,BULGOGI TOWN / BULGOGI TOWN | Bulgogi Town,790 E ALSOTA AVE,KV,FA0352644,True,False,34.130148,-117.894432
